T,p,vl,vh,ul,uh,hl,hh,sl,sh, 
0.01,0.0061165,0.001000,205.99,0.0,2374.9,0.00,2500.9,0.0000,9.1555,
5,0.0087258,0.001000,147.01,21.0,2381.8,21.02,2510.1,0.0763,9.0248,
10,0.012282,0.001000,106.30,42.0,2388.6,42.02,2519.2,0.1511,8.8998,
15,0.017058,0.001001,77.88,63.0,2395.5,62.98,2528.3,0.2245,8.7803,
20,0.023393,0.001002,57.76,83.9,2402.3,83.91,2537.4,0.2965,8.6660,
25,0.031699,0.001003,43.34,104.8,2409.1,104.83,2546.5,0.3672,8.5566,
30,0.042470,0.001004,32.88,125.7,2415.9,125.73,2555.5,0.4368,8.4520,
35,0.056290,0.001006,25.21,146.6,2422.7,146.63,2564.5,0.5051,8.3517,
40,0.073849,0.001008,19.52,167.5,2429.4,167.53,2573.5,0.5724,8.2555,
45,0.095950,0.001010,15.25,188.4,2436.1,188.43,2582.4,0.6386,8.1633,
50,0.12352,0.001012,12.03,209.3,2442.7,209.34,2591.3,0.7038,8.0748,
55,0.15762,0.001015,9.564,230.2,2449.3,230.26,2600.1,0.7680,7.9898,
60,0.19946,0.001017,7.667,251.2,2455.9,251.18,2608.8,0.8313,7.9081,
65,0.25042,0.001020,6.194,272.1,2462.4,272.12,2617.5,0.8937,7.8296,
70,0.31201,0.001023,5.040,293.0,2468.9,293.07,2626.1,0.9551,7.7540,
75,0.38595,0.001026,4.129,314.0,2475.2,314.03,2634.6,1.0158,7.6812,
80,0.47414,0.001029,3.405,335.0,2481.6,335.01,2643.0,1.0756,7.6111,
85,0.57867,0.001032,2.826,356.0,2487.8,356.01,2651.3,1.1346,7.5434,
90,0.70182,0.001036,2.359,377.0,2494.0,377.04,2659.5,1.1929,7.4781,
95,0.84608,0.001040,1.981,398.0,2500.0,398.09,2667.6,1.2504,7.4151,
100,1.0142,0.001044,1.672,419.1,2506.0,419.17,2675.6,1.3072,7.3541,
110,1.4338,0.001052,1.209,461.3,2517.7,461.42,2691.1,1.4188,7.2381,
120,1.9867,0.001060,0.8912,503.6,2528.9,503.81,2705.9,1.5279,7.1291,
130,2.7028,0.001070,0.6680,546.1,2539.5,546.38,2720.1,1.6346,7.0264,
140,3.6154,0.001080,0.5085,588.8,2549.6,589.16,2733.4,1.7392,6.9293,
150,4.7616,0.001091,0.3925,631.7,2559.1,632.18,2745.9,1.8418,6.8371,
160,6.1823,0.001102,0.3068,674.8,2567.8,675.47,2757.4,1.9426,6.7491,
170,7.9219,0.001114,0.2426,718.2,2575.7,719.08,2767.9,2.0417,6.6650,
180,10.0280,0.001127,0.1938,761.9,2582.8,763.05,2777.2,2.1392,6.5840,
190,12.5520,0.001142,0.1564,806.0,2589.0,807.43,2785.3,2.2355,6.5059,
200,15.5490,0.001157,0.1272,850.5,2594.2,852.27,2792.0,2.3305,6.4302,
210,19.0770,0.001173,0.1043,895.4,2598.3,897.63,2797.3,2.4245,6.3563,
220,23.1960,0.001190,0.08609,940.8,2601.2,943.58,2800.9,2.5177,6.2840,
230,27.9710,0.001209,0.07150,986.8,2602.9,990.19,2802.9,2.6101,6.2128,
240,33.4690,0.001230,0.05971,1033.4,2603.1,1037.60,2803.0,2.7020,6.1423,
250,39.7620,0.001252,0.05008,1080.8,2601.8,1085.80,2800.9,2.7935,6.0721,
260,46.9230,0.001276,0.04217,1129.0,2598.7,1135.00,2796.6,2.8849,6.0016,
270,55.0300,0.001303,0.03562,1178.1,2593.7,1185.30,2789.7,2.9765,5.9304,
280,64.1660,0.001333,0.03015,1228.3,2586.4,1236.90,2779.9,3.0685,5.8579,
290,74.4180,0.001366,0.02556,1279.9,2576.5,1290.00,2766.7,3.1612,5.7834,
300,85.8790,0.001404,0.02166,1332.9,2563.6,1345.00,2749.6,3.2552,5.7059,
310,98.6510,0.001448,0.01834,1387.9,2547.1,1402.20,2727.9,3.3510,5.6244,
320,112.84,0.001499,0.01547,1445.3,2526.0,1462.20,2700.6,3.4494,5.5372,
330,128.58,0.001561,0.01298,1505.8,2499.2,1525.90,2666.0,3.5518,5.4422,
340,146.01,0.001638,0.01078,1570.6,2464.4,1594.50,2621.8,3.6601,5.3356,
350,165.29,0.001740,0.008802,1642.1,2418.1,1670.90,2563.6,3.7784,5.2110,
360,186.66,0.001895,0.006949,1726.3,2351.8,1761.70,2481.5,3.9167,5.0536,
370,210.44,0.002215,0.004954,1844.1,2230.3,1890.70,2334.5,4.1112,4.8012,
373.95,220.64,0.003106,0.003106,2015.7,2015.7,2084.30,2084.3,4.4070,4.4070,
,,,,,,,,,,
,,,,,,,,,,
